case_id,rapid_count,rapid_window_seconds,failure_count,failure_window_seconds,elevated,moderate,low,no_elevated_indicator_observed
SYN-ROUTINE-001,3,300,2,300,0,0,0,3
SYN-ROUTINE-001,3,300,2,600,0,0,0,3
SYN-ROUTINE-001,3,300,2,900,0,0,0,3
SYN-ROUTINE-001,3,300,3,300,0,0,0,3
SYN-ROUTINE-001,3,300,3,600,0,0,0,3
SYN-ROUTINE-001,3,300,3,900,0,0,0,3
SYN-ROUTINE-001,3,600,2,300,0,0,0,3
SYN-ROUTINE-001,3,600,2,600,0,0,0,3
SYN-ROUTINE-001,3,600,2,900,0,0,0,3
SYN-ROUTINE-001,3,600,3,300,0,0,0,3
SYN-ROUTINE-001,3,600,3,600,0,0,0,3
SYN-ROUTINE-001,3,600,3,900,0,0,0,3
SYN-ROUTINE-001,3,900,2,300,0,0,0,3
SYN-ROUTINE-001,3,900,2,600,0,0,0,3
SYN-ROUTINE-001,3,900,2,900,0,0,0,3
SYN-ROUTINE-001,3,900,3,300,0,0,0,3
SYN-ROUTINE-001,3,900,3,600,0,0,0,3
SYN-ROUTINE-001,3,900,3,900,0,0,0,3
SYN-ROUTINE-001,4,300,2,300,0,0,0,3
SYN-ROUTINE-001,4,300,2,600,0,0,0,3
SYN-ROUTINE-001,4,300,2,900,0,0,0,3
SYN-ROUTINE-001,4,300,3,300,0,0,0,3
SYN-ROUTINE-001,4,300,3,600,0,0,0,3
SYN-ROUTINE-001,4,300,3,900,0,0,0,3
SYN-ROUTINE-001,4,600,2,300,0,0,0,3
SYN-ROUTINE-001,4,600,2,600,0,0,0,3
SYN-ROUTINE-001,4,600,2,900,0,0,0,3
SYN-ROUTINE-001,4,600,3,300,0,0,0,3
SYN-ROUTINE-001,4,600,3,600,0,0,0,3
SYN-ROUTINE-001,4,600,3,900,0,0,0,3
SYN-ROUTINE-001,4,900,2,300,0,0,0,3
SYN-ROUTINE-001,4,900,2,600,0,0,0,3
SYN-ROUTINE-001,4,900,2,900,0,0,0,3
SYN-ROUTINE-001,4,900,3,300,0,0,0,3
SYN-ROUTINE-001,4,900,3,600,0,0,0,3
SYN-ROUTINE-001,4,900,3,900,0,0,0,3
SYN-TRIGGER-001,3,300,2,300,0,1,0,3
SYN-TRIGGER-001,3,300,2,600,0,2,0,2
SYN-TRIGGER-001,3,300,2,900,0,2,0,2
SYN-TRIGGER-001,3,300,3,300,0,0,0,4
SYN-TRIGGER-001,3,300,3,600,0,0,0,4
SYN-TRIGGER-001,3,300,3,900,0,0,0,4
SYN-TRIGGER-001,3,600,2,300,0,1,1,2
SYN-TRIGGER-001,3,600,2,600,1,1,0,2
SYN-TRIGGER-001,3,600,2,900,1,1,0,2
SYN-TRIGGER-001,3,600,3,300,0,0,1,3
SYN-TRIGGER-001,3,600,3,600,0,0,1,3
SYN-TRIGGER-001,3,600,3,900,0,0,1,3
SYN-TRIGGER-001,3,900,2,300,0,1,1,2
SYN-TRIGGER-001,3,900,2,600,1,1,0,2
SYN-TRIGGER-001,3,900,2,900,1,1,0,2
SYN-TRIGGER-001,3,900,3,300,0,0,1,3
SYN-TRIGGER-001,3,900,3,600,0,0,1,3
SYN-TRIGGER-001,3,900,3,900,0,0,1,3
SYN-TRIGGER-001,4,300,2,300,0,1,0,3
SYN-TRIGGER-001,4,300,2,600,0,2,0,2
SYN-TRIGGER-001,4,300,2,900,0,2,0,2
SYN-TRIGGER-001,4,300,3,300,0,0,0,4
SYN-TRIGGER-001,4,300,3,600,0,0,0,4
SYN-TRIGGER-001,4,300,3,900,0,0,0,4
SYN-TRIGGER-001,4,600,2,300,0,1,0,3
SYN-TRIGGER-001,4,600,2,600,0,2,0,2
SYN-TRIGGER-001,4,600,2,900,0,2,0,2
SYN-TRIGGER-001,4,600,3,300,0,0,0,4
SYN-TRIGGER-001,4,600,3,600,0,0,0,4
SYN-TRIGGER-001,4,600,3,900,0,0,0,4
SYN-TRIGGER-001,4,900,2,300,0,1,0,3
SYN-TRIGGER-001,4,900,2,600,0,2,0,2
SYN-TRIGGER-001,4,900,2,900,0,2,0,2
SYN-TRIGGER-001,4,900,3,300,0,0,0,4
SYN-TRIGGER-001,4,900,3,600,0,0,0,4
SYN-TRIGGER-001,4,900,3,900,0,0,0,4
